id,n_docs,n_articles,orphan_docs_total,orphan_docs_name_matched,orphan_docs_truly_missing,orphan_articles,doc_mismatch_articles,unbacked_answer_mentions
353,2,1,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 231,,01/LT
354,3,4,36/2005/QH11;90/2025/QH15;66/2003/NĐ-CP,36/2005/QH11,90/2025/QH15;66/2003/NĐ-CP,36/2005/QH11|Điều 218;90/2025/QH15|Điều 1;36/2005/QH11|Điều 219;66/2003/NĐ-CP|Điều 1,,
355,1,1,,,,,,
356,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 148;36/2005/QH11|Điều 149,,
357,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 219;36/2005/QH11|Điều 218,,
358,2,2,,,,,,24/2000/NĐ-CP;31/7/2000
359,3,4,42/2019/QH14;50/2005/QH11,42/2019/QH14;50/2005/QH11,,36/2005/QH11|Điều 287;42/2019/QH14|Điều 2;50/2005/QH11|Điều 142,,
360,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 292;36/2005/QH11|Điều 293,,
361,1,1,,,,,,
362,3,3,36/2005/QH11;33/2005/QH11;91/2015/QH13,33/2005/QH11,36/2005/QH11;91/2015/QH13,36/2005/QH11|Điều 300;33/2005/QH11|Điều 422;91/2015/QH13|Điều 418,,
363,1,1,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 222,,
364,1,1,,,,,,
365,3,4,44-L/CTN;36/2005/QH11;91/2015/QH13,44-L/CTN;36/2005/QH11,91/2015/QH13,44-L/CTN|Điều 419;36/2005/QH11|Điều 314;91/2015/QH13|Điều 423;36/2005/QH11|Điều 315,,
366,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 34;36/2005/QH11|Điều 42,,
367,1,1,,,,,,
368,1,1,,,,,,
369,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 35;36/2005/QH11|Điều 54,,
370,3,4,36/2005/QH11;33/2005/QH11;91/2015/QH13,36/2005/QH11;33/2005/QH11,91/2015/QH13,36/2005/QH11|Điều 37;36/2005/QH11|Điều 41;33/2005/QH11|Điều 432;91/2015/QH13|Điều 434,,
371,5,6,141/2018/NĐ-CP;05/TM-QLTT,,141/2018/NĐ-CP;05/TM-QLTT,141/2018/NĐ-CP|Điều 1;36/2005/QH11|Điều 321;05/TM-QLTT|Điều 4,,
372,1,1,,,,,,
373,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 36;36/2005/QH11|Điều 61,,
374,3,5,36/2005/QH11;33/2005/QH11;91/2015/QH13,36/2005/QH11;33/2005/QH11,91/2015/QH13,36/2005/QH11|Điều 55;36/2005/QH11|Điều 54;33/2005/QH11|Điều 432;91/2015/QH13|Điều 434;91/2015/QH13|Điều 440,,
375,2,3,36/2005/QH11;91/2015/QH13,36/2005/QH11,91/2015/QH13,36/2005/QH11|Điều 44;36/2005/QH11|Điều 38;91/2015/QH13|Điều 434,,
376,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 58;36/2005/QH11|Điều 57,,
377,2,3,36/2005/QH11;91/2015/QH13,36/2005/QH11,91/2015/QH13,36/2005/QH11|Điều 61;36/2005/QH11|Điều 58;91/2015/QH13|Điều 441,,
378,1,1,,,,,,
379,4,5,36/2005/QH11;33/2005/QH11;44-L/CTN;91/2015/QH13,36/2005/QH11;33/2005/QH11;44-L/CTN,91/2015/QH13,36/2005/QH11|Điều 62;33/2005/QH11|Điều 439;44-L/CTN|Điều 432;36/2005/QH11|Điều 3;91/2015/QH13|Điều 450,,
380,1,1,,,,,,
381,3,3,36/2005/QH11;33/2005/QH11,36/2005/QH11,33/2005/QH11,36/2005/QH11|Điều 82;173/2025/NĐ-CP|Điều 6;33/2005/QH11|Điều 524,,
382,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 96;36/2005/QH11|Điều 92,,
383,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 50;36/2005/QH11|Điều 57,,
384,1,2,,,,38/2018/NĐ-CP|Điều 27,,
385,1,2,36/2005/QH11,36/2005/QH11,,36/2005/QH11|Điều 98;36/2005/QH11|Điều 97,,
386,1,1,,,,,,
387,2,3,04/2017/QH14,04/2017/QH14,,04/2017/QH14|Điều 18;38/2018/NĐ-CP|Điều 25,,
388,5,6,04/2017/QH14;210/2025/NĐ-CP;68-NQ/TW;20/VBHN-VPQH,210/2025/NĐ-CP,04/2017/QH14;68-NQ/TW;20/VBHN-VPQH,04/2017/QH14|Điều 18;04/2017/QH14|Điều 4;210/2025/NĐ-CP|Điều 1;20/VBHN-VPQH|Điều 18,,
389,3,5,04/2017/QH14;210/2025/NĐ-CP,04/2017/QH14;210/2025/NĐ-CP,,04/2017/QH14|Điều 18;38/2018/NĐ-CP|Điều 31;04/2017/QH14|Điều 20;210/2025/NĐ-CP|Điều 1,,
390,2,3,210/2025/NĐ-CP,210/2025/NĐ-CP,,38/2018/NĐ-CP|Điều 7;210/2025/NĐ-CP|Điều 1,,
391,4,5,04/2017/QH14;39/2018/NĐ-CP,04/2017/QH14;39/2018/NĐ-CP,,38/2018/NĐ-CP|Điều 33;210/2025/NĐ-CP|Điều 1;04/2017/QH14|Điều 18;39/2018/NĐ-CP|Điều 20,,
392,7,10,88/2016/NĐ-CP;12/VBHN-BTC;203/2012/TT-BTC;10/VBHN-BTC;121/2021/NĐ-CP,12/VBHN-BTC,88/2016/NĐ-CP;203/2012/TT-BTC;10/VBHN-BTC;121/2021/NĐ-CP,88/2016/NĐ-CP|Điều 35;12/VBHN-BTC|Điều 7;29/VBHN-VPQH|Điều 102;203/2012/TT-BTC|Điều 5;10/VBHN-BTC|Điều 15;203/2012/TT-BTC|Điều 4;121/2021/NĐ-CP|Điều 21;10/VBHN-BTC|Điều 16,,
393,2,3,04/2017/QH14,04/2017/QH14,,04/2017/QH14|Điều 18;38/2018/NĐ-CP|Điều 24;38/2018/NĐ-CP|Điều 5,,
394,5,6,108/2025/QH15;10/2021/TT-BTC;117/2012/TT-BTC,108/2025/QH15,10/2021/TT-BTC;117/2012/TT-BTC,108/2025/QH15|Điều 40;12/VBHN-BTC|Điều 8;10/2021/TT-BTC|Điều 3;117/2012/TT-BTC|Điều 10,,
395,6,8,29/VBHN-VPQH;28/2011/TT-BTC;108/2025/QH15;03/VBHN-VPQH;09/VBHN-VPQH,29/VBHN-VPQH;108/2025/QH15;09/VBHN-VPQH,28/2011/TT-BTC;03/VBHN-VPQH,29/VBHN-VPQH|Điều 115;28/2011/TT-BTC|Điều 55;29/VBHN-VPQH|Điều 110;108/2025/QH15|Điều 22;03/VBHN-VPQH|Điều 83;09/VBHN-VPQH|Điều 78;14/VBHN-BTC|Điều 62,,
396,8,9,61/1998/NĐ-CP;79/2009/TT-BTC;15/VBHN-BTC;28/2011/TT-BTC;128/2013/TT-BTC,61/1998/NĐ-CP;79/2009/TT-BTC,15/VBHN-BTC;28/2011/TT-BTC;128/2013/TT-BTC,61/1998/NĐ-CP|Điều 15;79/2009/TT-BTC|Điều 156;61/1998/NĐ-CP|Điều 13;15/VBHN-BTC|Điều 66;28/2011/TT-BTC|Điều 56;79/2009/TT-BTC|Điều 155;128/2013/TT-BTC|Điều 159,,
397,9,9,126/2020/NĐ-CP;157/2007/TT-BTC;87/2018/TT-BTC;29/VBHN-VPQH;16/VBHN-BTC;5/VBHN-BTC;69/VBHN-BTC;215/2013/TT-BTC,157/2007/TT-BTC;87/2018/TT-BTC;16/VBHN-BTC;69/VBHN-BTC;215/2013/TT-BTC,126/2020/NĐ-CP;29/VBHN-VPQH;5/VBHN-BTC,126/2020/NĐ-CP|Điều 31;87/2018/TT-BTC|Điều 3;29/VBHN-VPQH|Điều 127;16/VBHN-BTC|Điều 24;5/VBHN-BTC|Điều 4;5/VBHN-BTC|Điều 3;69/VBHN-BTC|Điều 3;215/2013/TT-BTC|Điều 18,,
398,4,4,44/2020/NĐ-CP;157/2007/TT-BTC;215/2013/TT-BTC,44/2020/NĐ-CP;157/2007/TT-BTC;215/2013/TT-BTC,,44/2020/NĐ-CP|Điều 20;98/2007/NĐ-CP|Điều 49;215/2013/TT-BTC|Điều 14,,
399,5,4,61/2007/TT-BTC;18/VBHN-BTC,18/VBHN-BTC,61/2007/TT-BTC,18/VBHN-BTC|Điều 34,,
400,1,1,78/2006/QH11,,78/2006/QH11,78/2006/QH11|Điều 105,,
401,1,1,,,,,,
402,8,7,108/2025/QH15;61/2007/TT-BTC;29/VBHN-VPQH;16/VBHN-BTC;03/VBHN-BTC;03/VBHN-VPQH,16/VBHN-BTC;03/VBHN-BTC,108/2025/QH15;61/2007/TT-BTC;29/VBHN-VPQH;03/VBHN-VPQH,108/2025/QH15|Điều 44;29/VBHN-VPQH|Điều 142;16/VBHN-BTC|Điều 10;03/VBHN-BTC|Điều 16;03/VBHN-VPQH|Điều 107,,
403,2,2,,,,,,
404,9,9,78/2006/QH11;85/2007/TT-BTC;80/2012/TT-BTC;105/2020/TT-BTC;111/2013/TT-BTC;03/VBHN-VPQH;28/2011/TT-BTC;29/VBHN-VPQH,85/2007/TT-BTC;80/2012/TT-BTC;105/2020/TT-BTC;111/2013/TT-BTC;28/2011/TT-BTC,78/2006/QH11;03/VBHN-VPQH;29/VBHN-VPQH,78/2006/QH11|Điều 63;80/2012/TT-BTC|Điều 6;105/2020/TT-BTC|Điều 7;111/2013/TT-BTC|Điều 24;03/VBHN-VPQH|Điều 25;28/2011/TT-BTC|Điều 11;78/2006/QH11|Điều 58;29/VBHN-VPQH|Điều 81,,
405,3,2,95/2016/TT-BTC;85/2007/TT-BTC,,95/2016/TT-BTC;85/2007/TT-BTC,95/2016/TT-BTC|Điều 7,,
406,2,2,236/2025/NĐ-CP,,236/2025/NĐ-CP,236/2025/NĐ-CP|Điều 15,,
407,7,4,80/2004/TT-BTC;10/2006/TT-BTC;29/VBHN-VPQH;95/2016/TT-BTC,,80/2004/TT-BTC;10/2006/TT-BTC;29/VBHN-VPQH;95/2016/TT-BTC,29/VBHN-VPQH|Điều 34;95/2016/TT-BTC|Điều 6,,
408,9,9,78/2006/QH11;85/2007/TT-BTC;95/2016/TT-BTC;105/2020/TT-BTC;166/2013/TT-BTC;29/VBHN-VPQH;19/VBHN-BTC,29/VBHN-VPQH,78/2006/QH11;85/2007/TT-BTC;95/2016/TT-BTC;105/2020/TT-BTC;166/2013/TT-BTC;19/VBHN-BTC,78/2006/QH11|Điều 27;95/2016/TT-BTC|Điều 15;105/2020/TT-BTC|Điều 11;166/2013/TT-BTC|Điều 7;29/VBHN-VPQH|Điều 36;19/VBHN-BTC|Điều 8;95/2016/TT-BTC|Điều 12,,
409,5,2,10/2006/TT-BTC;68/2003/TT-BTC;79/1998/TT-BTC;14/VBHN-BTC,14/VBHN-BTC,10/2006/TT-BTC;68/2003/TT-BTC;79/1998/TT-BTC,14/VBHN-BTC|Điều 27,,
410,5,5,105/2020/TT-BTC;29/VBHN-VPQH;80/2012/TT-BTC;68/2014/QH13,,105/2020/TT-BTC;29/VBHN-VPQH;80/2012/TT-BTC;68/2014/QH13,105/2020/TT-BTC|Điều 20;29/VBHN-VPQH|Điều 38;80/2012/TT-BTC|Điều 16;68/2014/QH13|Điều 195,,
411,5,6,29/VBHN-VPQH;105/2020/TT-BTC;5/VBHN-BTC,,29/VBHN-VPQH;105/2020/TT-BTC;5/VBHN-BTC,86/2024/TT-BTC|Điều 33;29/VBHN-VPQH|Điều 40;105/2020/TT-BTC|Điều 18;5/VBHN-BTC|Điều 37,,25/ĐK-TCT
412,7,6,111/2013/TT-BTC;86/2024/TT-BTC;105/2020/TT-BTC;29/VBHN-VPQH,,111/2013/TT-BTC;86/2024/TT-BTC;105/2020/TT-BTC;29/VBHN-VPQH,111/2013/TT-BTC|Điều 24;86/2024/TT-BTC|Điều 22;105/2020/TT-BTC|Điều 7;29/VBHN-VPQH|Điều 32,,15/4/2010;43/2010/NĐ-CP
413,2,2,110/2015/TT-BTC,,110/2015/TT-BTC,110/2015/TT-BTC|Điều 26,,
414,7,5,139/2007/NĐ-CP;10/2006/TT-BTC;80/2004/TT-BTC;5019/VBHN-BKHĐT,5019/VBHN-BKHĐT,139/2007/NĐ-CP;10/2006/TT-BTC;80/2004/TT-BTC,01/2021/NĐ-CP|Điều 26;43/2010/NĐ-CP|Điều 23;168/2025/NĐ-CP|Điều 26;139/2007/NĐ-CP|Điều 24;5019/VBHN-BKHĐT|Điều 23,,
415,6,6,78/2006/QH11;82/2025/NĐ-CP;03/VBHN-VPQH;200/2014/TT-BTC;14/VBHN-BTC,03/VBHN-VPQH;14/VBHN-BTC,78/2006/QH11;82/2025/NĐ-CP;200/2014/TT-BTC,78/2006/QH11|Điều 32;82/2025/NĐ-CP|Điều 4;03/VBHN-VPQH|Điều 32;200/2014/TT-BTC|Điều 109;14/VBHN-BTC|Điều 26,,
416,3,3,,,,,,01/GHAN
417,9,10,80/2012/TT-BTC;86/2024/TT-BTC;105/2020/TT-BTC;5/VBHN-BTC;15/VBHN-BTC;29/VBHN-VPQH,,80/2012/TT-BTC;86/2024/TT-BTC;105/2020/TT-BTC;5/VBHN-BTC;15/VBHN-BTC;29/VBHN-VPQH,80/2012/TT-BTC|Điều 19;86/2024/TT-BTC|Điều 12;86/2024/TT-BTC|Điều 28;105/2020/TT-BTC|Điều 13;5/VBHN-BTC|Điều 4;15/VBHN-BTC|Điều 10;29/VBHN-VPQH|Điều 37,,
418,4,4,24/VBHN-BTC;28/2011/TT-BTC;100/2021/TT-BTC,24/VBHN-BTC;100/2021/TT-BTC,28/2011/TT-BTC,24/VBHN-BTC|Điều 3;28/2011/TT-BTC|Điều 19;100/2021/TT-BTC|Điều 1,,
419,1,1,,,,,,
420,7,6,03/2009/TT-BTC;18/VBHN-BTC;09/VBHN-VPQH;12/2009/TT-BTC,03/2009/TT-BTC;12/2009/TT-BTC,18/VBHN-BTC;09/VBHN-VPQH,30/1998/NĐ-CP|Điều 14;82/2025/NĐ-CP|Điều 4;18/VBHN-BTC|Điều 12;09/VBHN-VPQH|Điều 32;12/2009/TT-BTC|Điều 4,,
421,5,4,78/2006/QH11;12/2005/TT-BTC;14/VBHN-BTC;19/VBHN-BTC,,78/2006/QH11;12/2005/TT-BTC;14/VBHN-BTC;19/VBHN-BTC,78/2006/QH11|Điều 46;14/VBHN-BTC|Điều 30;19/VBHN-BTC|Điều 28,,
422,5,6,108/2025/QH15;125/2020/NĐ-CP;109/2013/NĐ-CP;64/2015/TTLT-BTC-BCT-BCA-BQP,108/2025/QH15,125/2020/NĐ-CP;109/2013/NĐ-CP;64/2015/TTLT-BTC-BCT-BCA-BQP,108/2025/QH15|Điều 45;125/2020/NĐ-CP|Điều 17;125/2020/NĐ-CP|Điều 24;109/2013/NĐ-CP|Điều 38;64/2015/TTLT-BTC-BCT-BCA-BQP|Điều 6,,
423,1,1,,,,,,
424,3,4,28/2011/TT-BTC,,28/2011/TT-BTC,28/2011/TT-BTC|Điều 21,,
425,7,7,15/VBHN-BTC;14/VBHN-BTC;18/VBHN-BTC;11/VBHN-BTC,15/VBHN-BTC;14/VBHN-BTC;18/VBHN-BTC;11/VBHN-BTC,,15/VBHN-BTC|Điều 33;14/VBHN-BTC|Điều 33;18/VBHN-BTC|Điều 33;11/VBHN-BTC|Điều 29,,
426,6,6,15/VBHN-BTC;33-L/CTN;14/VBHN-BTC;29/VBHN-VPQH;03/VBHN-BTC,,15/VBHN-BTC;33-L/CTN;14/VBHN-BTC;29/VBHN-VPQH;03/VBHN-BTC,15/VBHN-BTC|Điều 33;33-L/CTN|Điều 21;14/VBHN-BTC|Điều 34;29/VBHN-VPQH|Điều 59;03/VBHN-BTC|Điều 42,,
427,8,6,68/2014/QH13;17/2023/QH15;28/2011/TT-BTC;60/2007/TT-BTC;59/2007/TT-BTC;29/VBHN-VPQH;67/VBHN-VPQH,17/2023/QH15,68/2014/QH13;28/2011/TT-BTC;60/2007/TT-BTC;59/2007/TT-BTC;29/VBHN-VPQH;67/VBHN-VPQH,68/2014/QH13|Điều 206;17/2023/QH15|Điều 104;28/2011/TT-BTC|Điều 34;29/VBHN-VPQH|Điều 67;67/VBHN-VPQH|Điều 213,,
428,7,5,28/2011/TT-BTC;80/2021/TT-BTC;29/VBHN-VPQH;53-TC/TCT;09/VBHN-VPQH;113/2005/TT-BTC,,28/2011/TT-BTC;80/2021/TT-BTC;29/VBHN-VPQH;53-TC/TCT;09/VBHN-VPQH;113/2005/TT-BTC,28/2011/TT-BTC|Điều 47;80/2021/TT-BTC|Điều 30;29/VBHN-VPQH|Điều 71;09/VBHN-VPQH|Điều 58,,
429,3,4,78/2006/QH11;29/VBHN-VPQH,78/2006/QH11,29/VBHN-VPQH,78/2006/QH11|Điều 58;78/2006/QH11|Điều 59;29/VBHN-VPQH|Điều 72,,106/2010/NĐ-CP;85/2007/NĐ-CP
430,3,2,78/2006/QH11,,78/2006/QH11,78/2006/QH11|Điều 43,,
431,1,1,,,,,,
432,3,4,,,,82/2025/NĐ-CP|Điều 5,,
433,1,1,,,,,,04/MGTH;1/MGTH
434,10,10,64/2013/TT-BTC;78/2021/TT-BTC;108/2025/QH15;29/VBHN-VPQH;25/VBHN-BTC;32/2025/TT-BTC;70/2025/NĐ-CP;17/VBHN-BTC,,64/2013/TT-BTC;78/2021/TT-BTC;108/2025/QH15;29/VBHN-VPQH;25/VBHN-BTC;32/2025/TT-BTC;70/2025/NĐ-CP;17/VBHN-BTC,32/2011/TT-BTC|Điều 3;64/2013/TT-BTC|Điều 3;78/2021/TT-BTC|Điều 4;108/2025/QH15|Điều 27;29/VBHN-VPQH|Điều 89;25/VBHN-BTC|Điều 8;32/2025/TT-BTC|Điều 5;70/2025/NĐ-CP|Điều 1;17/VBHN-BTC|Điều 3,,
435,3,5,110/2015/TT-BTC;19/2021/TT-BTC,110/2015/TT-BTC;19/2021/TT-BTC,,110/2015/TT-BTC|Điều 37;19/2021/TT-BTC|Điều 4;19/2021/TT-BTC|Điều 48;110/2015/TT-BTC|Điều 5,,
436,4,4,122/2025/NĐ-CP;34/2010/TT-BTC,,122/2025/NĐ-CP;34/2010/TT-BTC,122/2025/NĐ-CP|Điều 5;34/2010/TT-BTC|Điều 12,,
437,2,2,,,,,,
438,1,1,,,,,,
439,5,5,108/2025/QH15;29/VBHN-VPQH;32/2002/TT-BTC;5/VBHN-BTC,108/2025/QH15;29/VBHN-VPQH;5/VBHN-BTC,32/2002/TT-BTC,108/2025/QH15|Điều 20;94/2019/QH14|Điều 4;29/VBHN-VPQH|Điều 83;94/2019/QH14|Điều 2;5/VBHN-BTC|Điều 5,,
440,6,8,108/2025/QH15;78/2021/TT-BTC;122/2025/NĐ-CP;29/VBHN-VPQH,29/VBHN-VPQH,108/2025/QH15;78/2021/TT-BTC;122/2025/NĐ-CP,108/2025/QH15|Điều 26;78/2021/TT-BTC|Điều 6;68/2019/TT-BTC|Điều 15;122/2025/NĐ-CP|Điều 6;25/VBHN-BTC|Điều 3;29/VBHN-VPQH|Điều 89,,119/2018/NĐ-CP
441,5,7,04/2017/QH14;198/2025/QH15;210/2025/NĐ-CP;38/2018/NĐ-CP,04/2017/QH14;210/2025/NĐ-CP;38/2018/NĐ-CP,198/2025/QH15,04/2017/QH14|Điều 18;04/2017/QH14|Điều 20;39/2019/NĐ-CP|Điều 23;198/2025/QH15|Điều 9;210/2025/NĐ-CP|Điều 1;38/2018/NĐ-CP|Điều 5,,
442,2,2,14/2020/TT-BKHĐT,14/2020/TT-BKHĐT,,14/2020/TT-BKHĐT|Điều 9,,
443,1,2,,,,39/2019/NĐ-CP|Điều 26,,
444,3,5,78/2006/QH11;29/VBHN-VPQH,29/VBHN-VPQH,78/2006/QH11,78/2006/QH11|Điều 71;78/2006/QH11|Điều 72;29/VBHN-VPQH|Điều 97,,
445,1,2,,,,39/2019/NĐ-CP|Điều 31,,
446,5,8,39/2019/NĐ-CP;210/2025/NĐ-CP;38/2018/NĐ-CP,39/2019/NĐ-CP;210/2025/NĐ-CP;38/2018/NĐ-CP,,04/2017/QH14|Điều 18;39/2019/NĐ-CP|Điều 16;39/2019/NĐ-CP|Điều 23;210/2025/NĐ-CP|Điều 1;38/2018/NĐ-CP|Điều 4;38/2018/NĐ-CP|Điều 6,,
447,1,2,,,,39/2019/NĐ-CP|Điều 22,,
448,5,6,198/2025/QH15;37/2016/TT-BTC;119/2015/TT-BTC;45/2024/NĐ-CP,37/2016/TT-BTC;119/2015/TT-BTC;45/2024/NĐ-CP,198/2025/QH15,198/2025/QH15|Điều 9;39/2019/NĐ-CP|Điều 25;37/2016/TT-BTC|Điều 1;119/2015/TT-BTC|Điều 9;45/2024/NĐ-CP|Điều 1,,
449,1,1,108/2025/QH15,108/2025/QH15,,108/2025/QH15|Điều 26,,
450,2,2,210/2013/NĐ-CP,,210/2013/NĐ-CP,210/2013/NĐ-CP|Điều 9,,
451,2,3,08/2020/TT-BKHĐT,08/2020/TT-BKHĐT,,39/2019/NĐ-CP|Điều 20;08/2020/TT-BKHĐT|Điều 11,,
452,2,4,08/2020/TT-BKHĐT,08/2020/TT-BKHĐT,,39/2019/NĐ-CP|Điều 30;08/2020/TT-BKHĐT|Điều 10;08/2020/TT-BKHĐT|Điều 9,,
453,2,3,338/2025/NĐ-CP,,338/2025/NĐ-CP,39/2019/NĐ-CP|Điều 19;338/2025/NĐ-CP|Điều 16,,
454,5,8,08/2020/TT-BKHĐT;13/2015/TT-BKHĐT;80/2021/NĐ-CP,08/2020/TT-BKHĐT;13/2015/TT-BKHĐT;80/2021/NĐ-CP,,04/2017/QH14|Điều 20;08/2020/TT-BKHĐT|Điều 15;13/2015/TT-BKHĐT|Điều 10;13/2015/TT-BKHĐT|Điều 8;08/2020/TT-BKHĐT|Điều 16;80/2021/NĐ-CP|Điều 10,,
455,3,4,71/2006/QH11;45/2019/QH14;44/2013/NĐ-CP,71/2006/QH11;45/2019/QH14;44/2013/NĐ-CP,,71/2006/QH11|Điều 16;71/2006/QH11|Điều 18;45/2019/QH14|Điều 168;44/2013/NĐ-CP|Điều 4,,
456,5,4,41/2024/QH15;58/2014/QH13;28-NQ/TW;21-NQ/TW;88/2016/NĐ-CP,41/2024/QH15;58/2014/QH13,28-NQ/TW;21-NQ/TW;88/2016/NĐ-CP,41/2024/QH15|Điều 124;58/2014/QH13|Điều 3;41/2024/QH15|Điều 126;88/2016/NĐ-CP|Điều 12,,
457,1,0,,,,,,
458,8,9,58/2014/QH13;71/2006/QH11;41/2024/QH15;115/2015/NĐ-CP;158/2025/NĐ-CP;03-NV;02/2025/TT-BLĐTBXH;06/TT-LĐTBXH,58/2014/QH13;71/2006/QH11;41/2024/QH15;158/2025/NĐ-CP,115/2015/NĐ-CP;03-NV;02/2025/TT-BLĐTBXH;06/TT-LĐTBXH,58/2014/QH13|Điều 69;71/2006/QH11|Điều 78;58/2014/QH13|Điều 81;41/2024/QH15|Điều 88;41/2024/QH15|Điều 86;115/2015/NĐ-CP|Điều 12;158/2025/NĐ-CP|Điều 33;02/2025/TT-BLĐTBXH|Điều 7;06/TT-LĐTBXH|Điều 34,,
459,4,6,71/2006/QH11;41/2024/QH15;58/2014/QH13;19/VBHN-VPQH,71/2006/QH11;41/2024/QH15;58/2014/QH13;19/VBHN-VPQH,,71/2006/QH11|Điều 73;41/2024/QH15|Điều 70;71/2006/QH11|Điều 15;58/2014/QH13|Điều 46;19/VBHN-VPQH|Điều 60;19/VBHN-VPQH|Điều 77,,
460,3,3,157/2025/NĐ-CP;33/2016/NĐ-CP,157/2025/NĐ-CP;33/2016/NĐ-CP,,157/2025/NĐ-CP|Điều 19;33/2016/NĐ-CP|Điều 22,,
461,2,3,41/2024/QH15,,41/2024/QH15,41/2024/QH15|Điều 3;41/2024/QH15|Điều 26;164/2025/NĐ-CP|Điều 4,,
462,4,6,41/2024/QH15;58/2014/QH13;158/2025/NĐ-CP;152/2006/NĐ-CP,41/2024/QH15;58/2014/QH13;158/2025/NĐ-CP;152/2006/NĐ-CP,,41/2024/QH15|Điều 32;41/2024/QH15|Điều 33;58/2014/QH13|Điều 85;158/2025/NĐ-CP|Điều 43;152/2006/NĐ-CP|Điều 42;152/2006/NĐ-CP|Điều 43,,
463,5,5,41/2024/QH15;58/2014/QH13;158/2025/NĐ-CP;28/2015/TT-BLĐTBXH,41/2024/QH15;58/2014/QH13;158/2025/NĐ-CP;28/2015/TT-BLĐTBXH,,41/2024/QH15|Điều 28;58/2014/QH13|Điều 99;158/2025/NĐ-CP|Điều 37;28/2015/TT-BLĐTBXH|Điều 52,,
464,8,10,41/2024/QH15;58/2014/QH13;71/2006/QH11;143/2018/NĐ-CP;152/2006/NĐ-CP;325/2025/NĐ-CP;112/2021/NĐ-CP;158/2025/NĐ-CP,41/2024/QH15;58/2014/QH13;71/2006/QH11;152/2006/NĐ-CP;158/2025/NĐ-CP,143/2018/NĐ-CP;325/2025/NĐ-CP;112/2021/NĐ-CP,41/2024/QH15|Điều 2;58/2014/QH13|Điều 2;71/2006/QH11|Điều 2;41/2024/QH15|Điều 8;143/2018/NĐ-CP|Điều 2;152/2006/NĐ-CP|Điều 2;152/2006/NĐ-CP|Điều 3;325/2025/NĐ-CP|Điều 10;112/2021/NĐ-CP|Điều 4;158/2025/NĐ-CP|Điều 3,,
465,5,4,06/TT-LĐTBXH;136/2020/TT-BQP;19/VBHN-VPQH,19/VBHN-VPQH,06/TT-LĐTBXH;136/2020/TT-BQP,136/2020/TT-BQP|Điều 19;19/VBHN-VPQH|Điều 23,,
466,4,4,188/2025/NĐ-CP;168/2025/NĐ-CP,,188/2025/NĐ-CP;168/2025/NĐ-CP,188/2025/NĐ-CP|Điều 11;168/2025/NĐ-CP|Điều 81,,
467,4,6,41/2024/QH15;71/2006/QH11;37/2017/TT-BQP,41/2024/QH15;71/2006/QH11;37/2017/TT-BQP,,41/2024/QH15|Điều 31;71/2006/QH11|Điều 94;158/2025/NĐ-CP|Điều 15;37/2017/TT-BQP|Điều 4;41/2024/QH15|Điều 73,,
468,4,4,58/2014/QH13;41/2024/QH15;157/2025/NĐ-CP,58/2014/QH13;41/2024/QH15;157/2025/NĐ-CP,,58/2014/QH13|Điều 86;41/2024/QH15|Điều 99;157/2025/NĐ-CP|Điều 19,,
469,1,1,10/2012/QH13,10/2012/QH13,,10/2012/QH13|Điều 186,,
470,4,5,41/2024/QH15;51/2024/QH15;74/2025/QH15;22/VBHN-VPQH,41/2024/QH15,51/2024/QH15;74/2025/QH15;22/VBHN-VPQH,41/2024/QH15|Điều 33;41/2024/QH15|Điều 34;51/2024/QH15|Điều 1;74/2025/QH15|Điều 33;22/VBHN-VPQH|Điều 15,,
471,8,6,41/2024/QH15;71/2006/QH11;43-CP;21-LB/TT;59/2015/TT-BLĐTBXH;50/VBHN-VPQH;58/VBHN-VPQH;34/TT-LB,41/2024/QH15;71/2006/QH11;50/VBHN-VPQH;58/VBHN-VPQH,43-CP;21-LB/TT;59/2015/TT-BLĐTBXH;34/TT-LB,41/2024/QH15|Điều 43;71/2006/QH11|Điều 23;59/2015/TT-BLĐTBXH|Điều 4;50/VBHN-VPQH|Điều 26;58/VBHN-VPQH|Điều 43,,
472,2,4,41/2024/QH15;274/2025/NĐ-CP,41/2024/QH15;274/2025/NĐ-CP,,41/2024/QH15|Điều 38;274/2025/NĐ-CP|Điều 4;274/2025/NĐ-CP|Điều 5;41/2024/QH15|Điều 35,,
473,2,1,33-TT/LB,,33-TT/LB,,,
